"State","Region","Assessment Unit ID","Cycle","Report 305b","Map 305b","Water Status","Water Name","Water Type","Water Size","Size Unit","Water Type Group","Location","Monitoring Scheduled Date","Miles 305b","Acres 305b","IR Flag","Current Year Flag","AssessedFlag","Trophic Status"
"NY","2","NY0801-0375","2014","<a href=""JavaScript: newWindow = report305b('NY0801-0375'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0801-0375'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Bald Mountain Pond, Surprise Pond","FRESHWATER LAKE","4.9","ACRES","LAKE/RESERVOIR/POND","total area of both lakes","-","-","-","Y","Y","N","-"
"NY","2","NY0801-0379","2014","<a href=""JavaScript: newWindow = report305b('NY0801-0379'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0801-0379'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Nicks Lake","FRESHWATER LAKE","199.3","ACRES","LAKE/RESERVOIR/POND","entire lake","-","-","-","Y","Y","N","-"
"NY","2","NY0902-0065","2014","<a href=""JavaScript: newWindow = report305b('NY0902-0065'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0902-0065'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Minor Tribs to Canada","RIVER","24","MILES","STREAM/CREEK/RIVER","total length of selected tribs","-","-","-","Y","Y","N","-"
"NY","2","NY0704-0027","2014","<a href=""JavaScript: newWindow = report305b('NY0704-0027'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0704-0027'); newWindow.focus()"">Map Assessed Water</a>","GOOD","NYS Barge Canal/Clyde River (portion 7)","RIVER","31.5","MILES","STREAM/CREEK/RIVER","portion from Montezuma to Clyde","-","-","-","Y","Y","Y","-"
"NY","2","NY0801-0368","2014","<a href=""JavaScript: newWindow = report305b('NY0801-0368'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0801-0368'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Bloodsucker Pond","FRESHWATER LAKE","5","ACRES","LAKE/RESERVOIR/POND","entire lake","-","-","-","Y","Y","N","-"
"NY","2","NY0902-0058","2014","<a href=""JavaScript: newWindow = report305b('NY0902-0058'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0902-0058'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Ouleout Creek and tribs","RIVER","34.7","MILES","STREAM/CREEK/RIVER","entire stream and tribs","-","-","-","Y","Y","N","-"
"NY","2","NY0902-0061","2014","<a href=""JavaScript: newWindow = report305b('NY0902-0061'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0902-0061'); newWindow.focus()"">Map Assessed Water</a>","GOOD","Upper Chateaugay Lake Inlet and tribs","RIVER","63.7","MILES","STREAM/CREEK/RIVER","stream and tribs, from mouth to Standish water supply","-","-","-","Y","Y","Y","-"
"NY","2","NY0705-0086","2014","<a href=""JavaScript: newWindow = report305b('NY0705-0086'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0705-0086'); newWindow.focus()"">Map Assessed Water</a>","GOOD","Rock Stream and tribs","RIVER","17.9","MILES","STREAM/CREEK/RIVER","entire stream and tribs","-","-","-","Y","Y","Y","-"
"NY","2","NY0801-0197","2014","<a href=""JavaScript: newWindow = report305b('NY0801-0197'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0801-0197'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Beaver River, Lower, and tribs","RIVER","56.5","MILES","STREAM/CREEK/RIVER","stream and tribs, from mouth to Beaver Falls","-","-","-","Y","Y","N","-"
"NY","2","NY0801-0199","2014","<a href=""JavaScript: newWindow = report305b('NY0801-0199'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0801-0199'); newWindow.focus()"">Map Assessed Water</a>","GOOD","Black River, Middle, Main Stem","RIVER","22.5","MILES","STREAM/CREEK/RIVER","from Lowville to Lyons Falls","-","-","-","Y","Y","Y","-"
