"State","Region","Assessment Unit ID","Cycle","Report 305b","Map 305b","Water Status","Water Name","Water Type","Water Size","Size Unit","Water Type Group","Location","Monitoring Scheduled Date","Miles 305b","Acres 305b","IR Flag","Current Year Flag","AssessedFlag","Trophic Status"
"IA","7","IA 02-IOW-0263_0","2014","<a href=""JavaScript: newWindow = report305b('IA 02-IOW-0263_0'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 02-IOW-0263_0'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Dowd Creek","RIVER","1.4","MILES","STREAM/CREEK/RIVER","mouth (S2, T85N, R19W, Marshall Co.)  to confluence with unnamed tributary in  S1, T85N, R19W, Marshall Co.","-","-","-","-","Y","N","-"
"IA","7","IA 02-IOW-0267_0","2014","<a href=""JavaScript: newWindow = report305b('IA 02-IOW-0267_0'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 02-IOW-0267_0'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Bear Creek","RIVER","1.7","MILES","STREAM/CREEK/RIVER","mouth (S9, T86N, R19W, Hardin Co.)  to confluence with unnamed tributary in E 1/2,  S3, T86N, R19W, Hardin Co.","-","-","-","-","Y","N","-"
"IA","7","IA 02-IOW-0380_4","2014","<a href=""JavaScript: newWindow = report305b('IA 02-IOW-0380_4'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 02-IOW-0380_4'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","East Branch Iowa River","RIVER","9.9","MILES","STREAM/CREEK/RIVER","from confluence with unnamed tributary  at Garner (SE 1/4, S25, T96N, R24W, Hancock Co.) to confluence with unnamed tributary in S27, T97N, R24W, Hancock Co.","-","-","-","-","Y","N","-"
"IA","7","IA 02-IOW-0381_0","2014","<a href=""JavaScript: newWindow = report305b('IA 02-IOW-0381_0'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Drainage Ditch 13","RIVER","5.9","MILES","STREAM/CREEK/RIVER","from mouth (T96N R24W Sec24, Hancock Co.) to confluence of tributaries (T96N R23W Sec3, Hancock Co.)","-","-","-","-","Y","Y","-"
"IA","7","IA 02-IOW-0450_0","2014","<a href=""JavaScript: newWindow = report305b('IA 02-IOW-0450_0'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 02-IOW-0450_0'); newWindow.focus()"">Map Assessed Water</a>","IMPAIRED","Short Creek","RIVER","13.4","MILES","STREAM/CREEK/RIVER","from mouth (T75N R04W Sec19, Louisa Co.) to headwaters(T75N R06W Sec3, Washington Co.)","-","-","-","-","Y","Y","-"
"IA","7","IA 02-IOW-0451_0","2014","<a href=""JavaScript: newWindow = report305b('IA 02-IOW-0451_0'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 02-IOW-0451_0'); newWindow.focus()"">Map Assessed Water</a>","IMPAIRED","Unnamed Tributary to Short Creek","RIVER","3","MILES","STREAM/CREEK/RIVER","from mouth (T75N R04W Sec19, Louisa Co.) to headwaters(T75N R05W Sec36, Louisa Co.)","-","-","-","-","Y","Y","-"
"IA","7","IA 02-SHL-00238_0","2014","<a href=""JavaScript: newWindow = report305b('IA 02-SHL-00238_0'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 02-SHL-00238_0'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","unnamed tributary to Shell Rock River","RIVER",".3","MILES","STREAM/CREEK/RIVER","mouth (SW1/4, S18, T93N, R16W, Butler Co.) to  outfall of Greene WWTP in SW1/4, NW1/4, S7, T93N, R16W, Butler Co.","-","-","-","-","Y","N","-"
"IA","7","IA 02-SHL-00240-L_0","2014","<a href=""JavaScript: newWindow = report305b('IA 02-SHL-00240-L_0'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","NOT_ASSESSED","Rockfall Pond","LAKE","1","ACRES","LAKE/RESERVOIR/POND","Cerro Gordo County, S27,T97N,R20W, at N edge of Mason City.","-","-","-","-","Y","N","-"
"IA","7","IA 02-SHL-0027_0","2014","<a href=""JavaScript: newWindow = report305b('IA 02-SHL-0027_0'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 02-SHL-0027_0'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Rock Falls Creek","RIVER","3.6","MILES","STREAM/CREEK/RIVER","mo to trib S4,T97N,R19W Cerro Gordo Co.","-","-","-","-","Y","N","-"
"IA","7","IA 03-NSK-00115-L_0","2014","<a href=""JavaScript: newWindow = report305b('IA 03-NSK-00115-L_0'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 03-NSK-00115-L_0'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Yenrougis Pond","LAKE","9","ACRES","LAKE/RESERVOIR/POND","Keokuk County, S23,T76N,R12W, 3 mi N of Sigourney.","-","-","-","-","Y","N","-"
