"State","Region","Assessment Unit ID","Cycle","Report 305b","Map 305b","Water Status","Water Name","Water Type","Water Size","Size Unit","Water Type Group","Location","Monitoring Scheduled Date","Miles 305b","Acres 305b","IR Flag","Current Year Flag","AssessedFlag","Trophic Status"
"HI","9","HI412224","2014","<a href=""JavaScript: newWindow = report305b('HI412224'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","GOOD","Kuilima Cove","COASTAL WATERS",".1","MILES","COASTAL","Oahu","-","-","-","Y","Y","Y","-"
"HI","9","HI412391","2014","<a href=""JavaScript: newWindow = report305b('HI412391'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Honokowai Beach Co. Pk.","COASTAL WATERS",".1","MILES","COASTAL","Maui","-","-","-","Y","Y","Y","-"
"HI","9","HI412839","2014","<a href=""JavaScript: newWindow = report305b('HI412839'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","GOOD","Iroquois Pt.","COASTAL WATERS","1.3","MILES","COASTAL","Oahu","-","-","-","Y","Y","Y","-"
"HI","9","HI417163","2014","<a href=""JavaScript: newWindow = report305b('HI417163'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","NOT_ASSESSED","Halena Beach","COASTAL WATERS","1.3","MILES","COASTAL","Molokai","-","-","-","Y","Y","N","-"
"HI","9","HIW00109","2014","<a href=""JavaScript: newWindow = report305b('HIW00109'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","NOT_ASSESSED","Kaunakakai Boat Harbor","BAYS AND HARBORS",".01","SQUARE MILES","BAY/ESTUARY","Maui","-","-","-","Y","Y","N","-"
"HI","9","HIW00110","2014","<a href=""JavaScript: newWindow = report305b('HIW00110'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","NOT_ASSESSED","Kaunakakai Harbor","BAYS AND HARBORS",".01","SQUARE MILES","BAY/ESTUARY","Maui","-","-","-","Y","Y","N","-"
"HI","9","HIW00112","2014","<a href=""JavaScript: newWindow = report305b('HIW00112'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","NOT_ASSESSED","Kikiaola Boat Harbor","BAYS AND HARBORS",".01","SQUARE MILES","BAY/ESTUARY","Kauai","-","-","-","Y","Y","N","-"
"HI","9","HIW00113","2014","<a href=""JavaScript: newWindow = report305b('HIW00113'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","NOT_ASSESSED","Kukuiula Bay","BAYS AND HARBORS",".00001","SQUARE MILES","BAY/ESTUARY","Kauai","-","-","-","Y","Y","N","-"
"HI","9","HIW00114","2014","<a href=""JavaScript: newWindow = report305b('HIW00114'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Nawiliwili Bay (Kalapaki Beach)","BAYS AND HARBORS",".26","SQUARE MILES","BAY/ESTUARY","Kauai","-","-","-","Y","Y","Y","-"
"HI","9","HIW00115","2014","<a href=""JavaScript: newWindow = report305b('HIW00115'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Nawiliwili Bay (Nawiliwili Harbor)","BAYS AND HARBORS",".52","SQUARE MILES","BAY/ESTUARY","Kauai","-","-","-","Y","Y","Y","-"
"HI","9","HIW00116","2014","<a href=""JavaScript: newWindow = report305b('HIW00116'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Nawiliwili Bay (Offshore)","BAYS AND HARBORS",".83","SQUARE MILES","BAY/ESTUARY","Kauai","-","-","-","Y","Y","Y","-"
"HI","9","HIW00117","2014","<a href=""JavaScript: newWindow = report305b('HIW00117'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","GOOD","Hawaii Kai Station","BAYS AND HARBORS",".77","SQUARE MILES","BAY/ESTUARY","Oahu","-","-","-","Y","Y","Y","-"
"HI","9","HI713314","2014","<a href=""JavaScript: newWindow = report305b('HI713314'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Banyan's Surfing Area","COASTAL WATERS",".2","MILES","COASTAL","Hawaii","-","-","-","Y","Y","Y","-"
"HI","9","HI714359","2014","<a href=""JavaScript: newWindow = report305b('HI714359'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Sand Island Pt.2","COASTAL WATERS","1.3","MILES","COASTAL","Oahu","-","-","-","Y","Y","Y","-"
"HI","9","HI715975","2014","<a href=""JavaScript: newWindow = report305b('HI715975'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Mai Poina Oe Iau Beach Co. Pk.(Kihei N. station)","COASTAL WATERS",".9","MILES","COASTAL","Maui","-","-","-","Y","Y","Y","-"
"HI","9","HI717740","2014","<a href=""JavaScript: newWindow = report305b('HI717740'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","NOT_ASSESSED","Manner's Beach","COASTAL WATERS",".5","MILES","COASTAL","Oahu","-","-","-","Y","Y","N","-"
"HI","9","HI720408","2014","<a href=""JavaScript: newWindow = report305b('HI720408'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Manini'owali","COASTAL WATERS",".4","MILES","COASTAL","Hawaii","-","-","-","Y","Y","Y","-"
"HI","9","HI720900","2014","<a href=""JavaScript: newWindow = report305b('HI720900'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","GOOD","Whittington Beach Co. Pk.","COASTAL WATERS",".2","MILES","COASTAL","Hawaii","-","-","-","Y","Y","Y","-"
"HI","9","HI723399","2014","<a href=""JavaScript: newWindow = report305b('HI723399'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Makapuu Beach","COASTAL WATERS",".2","MILES","COASTAL","Oahu","-","-","-","Y","Y","Y","-"
"HI","9","HI726225","2014","<a href=""JavaScript: newWindow = report305b('HI726225'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","NOT_ASSESSED","Kaunala Beach","COASTAL WATERS",".1","MILES","COASTAL","Molokai","-","-","-","Y","Y","N","-"
"HI","9","HI730738","2014","<a href=""JavaScript: newWindow = report305b('HI730738'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","NOT_ASSESSED","Kea'au Beach Co. Park","COASTAL WATERS","1.2","MILES","COASTAL","Oahu","-","-","-","Y","Y","N","-"
"HI","9","HI731423","2014","<a href=""JavaScript: newWindow = report305b('HI731423'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","NOT_ASSESSED","Ohikilolo Beach(Barking Sands)","COASTAL WATERS","1.4","MILES","COASTAL","Oahu","-","-","-","Y","Y","N","-"
"HI","9","HI733929","2014","<a href=""JavaScript: newWindow = report305b('HI733929'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","NOT_ASSESSED","Kapi'olani Park","COASTAL WATERS",".5","MILES","COASTAL","Oahu","-","-","-","Y","Y","N","-"
"HI","9","HI735036","2014","<a href=""JavaScript: newWindow = report305b('HI735036'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","NOT_ASSESSED","Lopa Beach","COASTAL WATERS",".5","MILES","COASTAL","Lanai","-","-","-","Y","Y","N","-"
"HI","9","HI739818","2014","<a href=""JavaScript: newWindow = report305b('HI739818'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","NOT_ASSESSED","Laukinui Beach","COASTAL WATERS",".5","MILES","COASTAL","Oahu","-","-","-","Y","Y","N","-"
"HI","9","HI616452","2014","<a href=""JavaScript: newWindow = report305b('HI616452'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","2nd Beach (next to Mahaiula)","COASTAL WATERS",".2","MILES","COASTAL","Hawaii","-","-","-","Y","Y","Y","-"
"HI","9","HI616569","2014","<a href=""JavaScript: newWindow = report305b('HI616569'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","NOT_ASSESSED","Alaeloa Beach","COASTAL WATERS",".1","MILES","COASTAL","Maui","-","-","-","Y","Y","N","-"
"HI","9","HI617815","2014","<a href=""JavaScript: newWindow = report305b('HI617815'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Sans Souci","COASTAL WATERS","1","MILES","COASTAL","Oahu","-","-","-","Y","Y","Y","-"
"HI","9","HI621002","2014","<a href=""JavaScript: newWindow = report305b('HI621002'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Hapuna Beach St. Rec. Area","COASTAL WATERS",".4","MILES","COASTAL","Hawaii","-","-","-","Y","Y","Y","-"
"HI","9","HI622160","2014","<a href=""JavaScript: newWindow = report305b('HI622160'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","NOT_ASSESSED","Kaunala Beach","COASTAL WATERS",".3","MILES","COASTAL","Oahu","-","-","-","Y","Y","N","-"
"HI","9","HI624259","2014","<a href=""JavaScript: newWindow = report305b('HI624259'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","NOT_ASSESSED","War Memorial Natatorium","COASTAL WATERS",".1","MILES","COASTAL","Oahu","-","-","-","Y","Y","N","-"
"HI","9","HI627464","2014","<a href=""JavaScript: newWindow = report305b('HI627464'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","GOOD","Ma'ili Beach Park","COASTAL WATERS","1.5","MILES","COASTAL","Oahu","-","-","-","Y","Y","Y","-"
"HI","9","HI628972","2014","<a href=""JavaScript: newWindow = report305b('HI628972'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","GOOD","Hawaiian Electric Beach Park","COASTAL WATERS",".2","MILES","COASTAL","Oahu","-","-","-","Y","Y","Y","-"
"HI","9","HI632106","2014","<a href=""JavaScript: newWindow = report305b('HI632106'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Makaha Beach","COASTAL WATERS",".3","MILES","COASTAL","Oahu","-","-","-","Y","Y","Y","-"
"HI","9","HI639551","2014","<a href=""JavaScript: newWindow = report305b('HI639551'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","GOOD","Mauna Lahilahi Beach","COASTAL WATERS",".3","MILES","COASTAL","Oahu","-","-","-","Y","Y","Y","-"
"HI","9","HIW00176","2014","<a href=""JavaScript: newWindow = report305b('HIW00176'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","NOT_ASSESSED","Honaunau Bay","BAYS AND HARBORS",".07","SQUARE MILES","BAY/ESTUARY","Hawaii","-","-","-","Y","Y","N","-"
"HI","9","HIW00177","2014","<a href=""JavaScript: newWindow = report305b('HIW00177'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Hulupoe Bay","COASTAL WATERS",".21","MILES","COASTAL","Lanai","-","-","-","Y","Y","Y","-"
"HI","9","HIW00178","2014","<a href=""JavaScript: newWindow = report305b('HIW00178'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","GOOD","Manele Bay Beach","BAYS AND HARBORS",".19","SQUARE MILES","BAY/ESTUARY","Lanai","-","-","-","Y","Y","Y","-"
"HI","9","HIW00179","2014","<a href=""JavaScript: newWindow = report305b('HIW00179'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Manele Boat Harbor","BAYS AND HARBORS",".37","SQUARE MILES","BAY/ESTUARY","Lanai","-","-","-","Y","Y","Y","-"
"HI","9","HIW00180","2014","<a href=""JavaScript: newWindow = report305b('HIW00180'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","NOT_ASSESSED","Puu Pehe Beach","BAYS AND HARBORS",".06","SQUARE MILES","BAY/ESTUARY","Lanai","-","-","-","Y","Y","N","-"
"HI","9","HIW00181","2014","<a href=""JavaScript: newWindow = report305b('HIW00181'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Sand Island Pt.3","COASTAL WATERS",".06","MILES","COASTAL","Oahu","-","-","-","Y","Y","Y","-"
"HI","9","HIW00182","2014","<a href=""JavaScript: newWindow = report305b('HIW00182'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Kaelepulu Stream-Kailua Beach","ESTUARY","2","SQUARE MILES","BAY/ESTUARY","Oahu","-","-","-","Y","Y","Y","-"
