Site,Date,DO (mg/L) - Top,DO (mg/L) - Bot,Fecal Coliform (#/100 mL) - Top,Fecal Coliform (#/100 mL) - Bot,Enterococcus (#/100 mL) - Top,Enterococcus (#/100 mL) - Bot,Transparency (Secchi) ft,Weather (Dry = D / Wet = W)
CIC2,12/18/2017,9.22,NS,420,NS,520,NS,NS,W
GC3,12/18/2017,12.68,12.62,10,10,10,10,NS,W 
GC4,12/18/2017,12.73,12.67,10,10,10,10,NS,W
GC5,12/18/2017,12.72,12.67,10,10,30,10,NS,W
GC6,12/18/2017,12.41,12.37,50,10,20,10,NS,W
SP1,12/18/2017,10.06,NS,40,NS,10,NS,NS,W
AC1,12/12/2017,9.55,NS,2900,NS,9000,NS,NS,D
AC2,12/12/2017,2.27,NS,5100,NS,8000,NS,NS,D
BR1,12/12/2017,11.5,NS,2500,NS,200,NS,NS,D
BR3,12/12/2017,8.53,NS,96,NS,228,NS,NS,D
E12,12/12/2017,9.54,NS,32,NS,20,NS,NS,D
E13,12/12/2017,8.8,NS,14,NS,5,NS,NS,D
HR03,12/12/2017,7.31,NS,520,NS,276,NS,NS,D
HR1,12/12/2017,8.83,NS,116,NS,64,NS,NS,D
HR2,12/12/2017,6.68,NS,570,NS,340,NS,NS,D
WC1,12/12/2017,7.89,NS,159,NS,88,NS,NS,D
WC2,12/12/2017,6.08,NS,6600,NS,490,NS,NS,D
WC3,12/12/2017,8.87,NS,18,NS,24,NS,NS,D
BB2,12/11/2017,8.5,8.4,390,NS,16,NS,5,W
BB4,12/11/2017,8.98,9.11,330,NS,4,NS,7,W
GHC,12/11/2017,9.34,9.6,4,NS,2,NS,8.5,W
HOB,12/11/2017,9.44,9.46,100,NS,4,NS,8,W
J1,12/11/2017,8.79,8.96,12,NS,2,NS,6,W
J10,12/11/2017,8.72,8.83,12,NS,2,NS,8.5,W
J11,12/11/2017,8.66,8.4,172,NS,16,NS,4,W
J12,12/11/2017,9.39,8.47,148,NS,2,NS,7.5,W
J2,12/11/2017,8.99,8.74,4,NS,4,NS,6.5,W
J3,12/11/2017,8.86,8.93,8,NS,2,NS,11,W
J5,12/11/2017,9.27,9.95,12,NS,2,NS,7,W
J7,12/11/2017,9.3,9.19,56,NS,2,NS,8.5,W
J8,12/11/2017,8.97,9.01,16,NS,2,NS,13,W
J9A,12/11/2017,8.58,9.03,10,NS,2,NS,11.5,W
JA1,12/11/2017,8.96,9.13,44,NS,2,NS,8,W
N16,12/11/2017,8.68,8.66,6,NS,2,NS,4,W
N9,12/11/2017,8.74,8.82,48,NS,89,NS,4.5,W
N9A,12/11/2017,8.59,8.85,34,NS,20,NS,4,W
PB2,12/11/2017,8.55,8.72,32,NS,4,NS,9.5,W
PB3,12/11/2017,8.96,9,4,NS,2,NS,10,W
SP2,12/11/2017,9.06,NS,8,NS,8,NS,10,W
TB1,12/11/2017,8.79,9.35,10,NS,8,NS,6.5,W
TB2,12/11/2017,9.05,9.29,40,NS,8,NS,7.5,W
F1,12/7/2017,8.69,NS,114,NS,12,NS,NS,D
F5,12/7/2017,8.97,NS,99,NS,2,NS,NS,D
HC1,12/7/2017,7.62,NS,1180,NS,140,NS,NS,D
HC2,12/7/2017,8.23,NS,26,NS,2,NS,NS,D
HC3,12/7/2017,8.46,NS,70,NS,12,NS,NS,D
J14,12/7/2017,9.18,NS,8,NS,8,NS,NS,D
J16,12/7/2017,9.42,NS,16,NS,4,NS,NS,D
J18,12/7/2017,9.39,NS,10,NS,12,NS,NS,D
CIC3,12/5/2017,NS,NS,NS,NS,NS,NS,NS,NS
G2,12/5/2017,8.2,7.91,36,NS,31,NS,NS,D
GB1,12/5/2017,NS,NS,NS,NS,NS,NS,NS,NS
K1,12/5/2017,8.13,8.54,16,NS,4,NS,3.5,D
K2,12/5/2017,8.17,8.08,20,NS,17,NS,4,D
K3,12/5/2017,8.08,8.38,28,NS,32,NS,5,D
K4,12/5/2017,7.91,8.11,12,NS,23,NS,3,D
K5,12/5/2017,8.6,8.43,2,NS,16,NS,4,D
K5A,12/5/2017,8.1,8.51,4,NS,14,NS,3,D
K6,12/5/2017,NS,NS,NS,NS,NS,NS,NS,NS
N6,12/5/2017,8.31,8.69,4,NS,1,NS,3,D
N7,12/5/2017,8.18,8.6,4,NS,4,NS,3.5,D
N8,12/5/2017,NS,NS,NS,NS,NS,NS,NS,NS
NC0,12/5/2017,5.85,5.88,201,156,208,144,2,D
NC1,12/5/2017,7.2,6.94,148,144,96,36,4,D
NC2,12/5/2017,7.86,7.89,48,40,56,32,4.5,D
NC3,12/5/2017,7.77,8.2,32,32,20,12,4,D
BR5,12/4/2017,8.28,8.53,4,NS,2,NS,5.5,D
E10,12/4/2017,8.75,8.82,8,NS,1,NS,7,D
E11,12/4/2017,8.47,NS,7,NS,2,NS,5,D
E14,12/4/2017,8.64,8.85,8,NS,9,NS,4,D
E15,12/4/2017,8.04,8.21,44,NS,12,NS,4,D
E2,12/4/2017,8.06,7.98,17,NS,10,NS,2,D
E4,12/4/2017,7.8,8,9,NS,8,NS,2,D
E6,12/4/2017,7.99,8.17,18,NS,5,NS,4,D
E7,12/4/2017,8.7,8.62,10,NS,2,NS,5,D
E8,12/4/2017,8.43,8.8,7,NS,2,NS,5,D
FB1,12/4/2017,7.95,8.37,36,NS,20,NS,4.5,D
FLC1,12/4/2017,8.13,8.23,168,NS,64,NS,4,D
FLC2,12/4/2017,8.43,8.23,100,NS,22,NS,4,D
H3,12/4/2017,8.2,8.53,9,NS,8,NS,2,D
LN1,12/4/2017,8.9,NS,48,NS,30,NS,5,D
N1,12/4/2017,8.77,8.34,31,NS,13,NS,1.5,D
N3B,12/4/2017,8.51,8.15,27,NS,6,NS,1,D
N4,12/4/2017,8.7,8.25,16,NS,12,NS,1,D
N5,12/4/2017,8.07,8.19,11,NS,5,NS,1,D
NR1,12/4/2017,8.54,7.94,20,NS,11,NS,1,D
F1,11/21/2017,8.41,NS,176,NS,12,NS,NS,D
F5,11/21/2017,8.53,NS,78,NS,4,NS,NS,D
HC1,11/21/2017,7.47,NS,30,NS,18,NS,NS,D
HC2,11/21/2017,8.07,NS,20,NS,2,NS,NS,D
HC3,11/21/2017,8.32,8.47,2,NS,2,NS,NS,D
J14,11/21/2017,9.57,9.46,12,NS,2,NS,NS,D
J16,11/21/2017,9.35,9.3,22,NS,2,NS,NS,D
J18,11/21/2017,9.55,9.53,18,NS,2,NS,NS,D
CIC3,11/20/2017,8.45,8.52,838,NS,51,NS,5.5,D
G2,11/20/2017,8.87,8.6,16,NS,8,NS,NS,D
GB1,11/20/2017,8.56,8.56,11,NS,1,NS,5.5,D
K1,11/20/2017,8.43,8.33,24,NS,14,NS,3,D
K2,11/20/2017,8.37,8.4,12,NS,9,NS,3.5,D
K3,11/20/2017,8.39,8.24,56,NS,43,NS,5.5,D
K4,11/20/2017,8.15,8.23,72,NS,56,NS,3.5,D
K5,11/20/2017,8.27,8.16,10,NS,17,NS,4.5,D
K5A,11/20/2017,8.44,8.43,10,NS,9,NS,3.5,D
K6,11/20/2017,NS,NS,NS,NS,NS,NS,NS,NS
N6,11/20/2017,8.84,8.3,16,NS,13,NS,3,D
N7,11/20/2017,8.69,8.23,16,NS,9,NS,2.5,D
N8,11/20/2017,8.49,8.48,8,NS,4,NS,6,D
NC0,11/20/2017,4.62,4.57,124,96,48,52,3,D
NC1,11/20/2017,5.49,5.4,60,20,48,16,4.5,D
NC2,11/20/2017,6.2,6.13,24,16,44,28,4,D
NC3,11/20/2017,7.63,7.48,24,28,12,4,3.5,D
AC1,11/16/2017,8.86,NS,946,NS,600,NS,NS,W
AC2,11/16/2017,8.92,NS,240,NS,2100,NS,NS,W
BR1,11/16/2017,10.53,NS,9909,NS,17000,NS,NS,W
BR3,11/16/2017,8.06,NS,60,NS,220,NS,NS,W
E12,11/16/2017,8.61,NS,20,NS,10,NS,NS,W
E13,11/16/2017,7.93,NS,26,NS,12,NS,NS,W
HR03,11/16/2017,7.16,NS,2000,NS,600,NS,NS,W
HR1,11/16/2017,8.06,NS,60,NS,20,NS,NS,W
HR2,11/16/2017,6.13,NS,570,NS,240,NS,NS,W
WC1,11/16/2017,7.17,NS,600,NS,500,NS,NS,W
WC2,11/16/2017,6.34,NS,5900,NS,1700,NS,NS,W
WC3,11/16/2017,8.03,NS,10,NS,12,NS,NS,W
CIC2,11/14/2017,5.77,NS,30000,NS,4700,NS,NS,D
GC3,11/14/2017,11.31,11.56,4,NS,12,NS,NS,D
GC4,11/14/2017,11.33,11.41,232,16,196,40,NS,D
GC5,11/14/2017,11.43,11.42,64,NS,196,NS,NS,D
GC6,11/14/2017,10.93,10.87,40,4,112,108,NS,D
SP1,11/14/2017,9.31,NS,283,NS,82,NS,NS,D
BR5,11/13/2017,7.13,NS,88,NS,78,NS,3,D
E10,11/13/2017,7.95,7.73,54,NS,1,NS,7,D
E11,11/13/2017,8.24,NS,40,NS,3,NS,5,D
E14,11/13/2017,7.68,7.69,64,NS,8,NS,4.5,D
E15,11/13/2017,7.26,NS,460,NS,86,NS,5,D
E2,11/13/2017,7.42,7.33,40,NS,20,NS,4,D
E4,11/13/2017,7.48,7.5,84,NS,10,NS,4,D
E6,11/13/2017,7.44,7.38,62,NS,72,NS,3.5,D
E7,11/13/2017,7.61,7.72,56,NS,5,NS,5,D
E8,11/13/2017,7.78,7.87,50,NS,5,NS,6,D
FB1,11/13/2017,7.51,7.55,251,NS,210,NS,5,D
FLC1,11/13/2017,6.37,NS,380,NS,100,NS,1,D
FLC2,11/13/2017,7.27,7.26,460,NS,200,NS,3,D
H3,11/13/2017,7.32,7.34,120,NS,16,NS,5,D
